fight,side,unit_id,instance,focus,alive,health,max_health,alive_ms,moving_ms,stunned_ms,shield_present_ms,positive_rate_modifier_ms,negative_rate_modifier_ms,basic_actions,active_actions,damage_basic_hp100,damage_skill_hp100,healing_hp100,shield_granted_hp100,shield_absorbed_hp100,overkill_hp100,applied_stun_packet_ms,dash_events,rate_modifier_events,received_healing_hp100,received_damage_hp100
3,1,wc_u_elf_mage,7340038,0,0,0,69000,38750,1000,0,0,0,0,25,4,97254,14870,0,0,0,2366,5000,0,0,0,69000
4,0,wc_u_human_warrior,8388609,0,0,0,98000,13100,1000,1000,0,0,0,8,2,48915,11613,0,0,0,0,0,0,0,0,98000
4,0,wc_u_dwarf_warrior,8388610,0,0,0,100000,15350,1900,1000,0,0,0,9,2,49959,10365,0,0,0,3664,0,0,0,0,100000
4,0,wc_u_orc_warrior,8388611,0,0,0,95000,12200,0,0,0,3000,0,11,1,50350,0,0,0,0,0,0,0,1,0,95000
4,0,wc_u_halfling_warrior,8388612,0,0,0,76000,22150,1700,1250,6900,0,0,16,3,99540,0,0,45000,37090,3300,0,0,0,0,76000
4,0,wc_u_dragonkin_guardian,8388613,0,0,0,118000,6150,0,2250,1200,0,0,2,1,6194,0,0,24000,24000,0,0,0,0,0,118000
4,0,wc_u_elf_mage,8388614,0,0,0,69000,25350,1000,350,0,0,0,17,2,70649,10455,0,0,0,41,2500,0,0,0,69000
4,1,wc_u_human_guardian,9437185,0,0,0,115500,13350,0,0,2850,0,0,8,2,27076,0,0,40000,40000,0,0,0,0,0,115500
4,1,wc_u_dwarf_guardian,9437186,0,0,0,110000,6850,0,1250,0,0,0,3,1,6770,0,0,0,0,0,3000,0,0,0,110000
4,1,wc_u_human_mage,9437187,0,0,0,68200,14200,0,0,0,0,0,9,2,29500,76416,0,0,0,12782,0,0,0,0,68200
4,1,wc_u_orc_mage,9437188,0,1,43660,75000,25350,1000,0,0,0,0,15,3,48367,151964,0,0,0,37698,0,0,0,0,31340
4,1,wc_u_elf_mage,9437189,1,1,69000,69000,25350,0,0,0,0,0,16,3,60695,18175,0,0,0,455,3750,0,0,0,0
4,1,wc_u_halfling_mage,9437190,0,1,24000,57000,25350,900,1250,0,0,0,17,3,56759,80278,0,0,0,694,0,0,0,0,33000
5,0,wc_u_human_guardian,10485761,0,0,0,115500,8600,0,1250,1700,0,0,5,1,19200,0,0,20000,20000,0,0,0,0,0,115500
5,0,wc_u_dwarf_guardian,10485762,0,0,0,110000,13350,0,0,0,0,0,8,1,28160,0,0,0,0,0,3000,0,0,0,110000
5,0,wc_u_human_mage,10485763,0,1,29680,68200,29100,0,0,0,0,0,17,3,56345,38097,0,0,0,15409,0,0,0,0,38520
5,0,wc_u_orc_mage,10485764,0,0,0,75000,18700,0,1250,0,0,0,10,2,34174,145496,0,0,0,0,0,0,0,0,75000
5,0,wc_u_elf_mage,10485765,1,1,64556,69000,29100,0,0,0,0,0,18,3,62850,13360,0,0,0,11346,2500,0,0,0,4444
5,0,wc_u_halfling_mage,10485766,0,1,32000,57000,29100,2050,1250,0,0,0,19,4,66324,91994,0,0,0,925,0,0,0,0,25000
5,1,wc_u_human_warrior,11534337,0,0,0,98000,10650,0,1000,0,0,0,8,1,48312,11613,0,0,0,0,0,0,0,0,98000
5,1,wc_u_dwarf_warrior,11534338,0,0,0,100000,13100,0,1000,0,0,0,9,1,54015,12329,0,0,0,0,0,0,0,0,100000
5,1,wc_u_orc_warrior,11534339,0,0,0,95000,25000,1900,0,0,8800,0,20,3,122175,0,0,0,0,7177,0,0,3,0,95000
5,1,wc_u_halfling_warrior,11534340,0,0,0,76000,5250,1700,550,1600,0,0,2,1,12536,0,0,15000,15000,0,0,0,0,0,76000
5,1,wc_u_dragonkin_guardian,11534341,0,0,0,118000,20650,2550,2250,3150,0,0,10,2,30821,0,0,48000,48000,0,0,0,0,0,118000
5,1,wc_u_elf_mage,11534342,0,0,0,69000,29100,2000,0,0,0,0,17,3,66863,9800,0,0,0,3317,3750,0,0,0,69000
6,0,wc_u_human_warrior,12582913,0,0,0,98000,10650,0,1000,0,0,0,8,1,48312,11613,0,0,0,0,0,0,0,0,98000
6,0,wc_u_dwarf_warrior,12582914,0,0,0,100000,20650,2000,1000,0,0,0,13,2,87117,16473,0,0,0,4888,0,0,0,0,100000
6,0,wc_u_orc_warrior,12582915,0,0,0,95000,24500,1900,0,0,8300,0,19,3,114051,0,0,0,0,7872,0,0,3,0,95000
6,0,wc_u_halfling_warrior,12582916,0,0,0,76000,5250,1700,550,1600,0,0,2,1,12536,0,0,15000,15000,0,0,0,0,0,76000
