seed,round,pvp_round_index,kind,wave_id,seat_a,seat_b,winner,ticks,timeout,survivors_a,survivors_b
3,10,5,2,wc_wave_10,1,-1,0,268,0,6,0
3,10,5,2,wc_wave_10,2,-1,0,257,0,5,0
3,10,5,2,wc_wave_10,3,-1,0,321,0,6,0
3,10,5,2,wc_wave_10,4,-1,0,342,0,6,0
3,10,5,2,wc_wave_10,5,-1,0,294,0,6,0
3,10,5,2,wc_wave_10,6,-1,0,408,0,5,0
3,10,5,2,wc_wave_10,7,-1,0,254,0,6,0
3,11,6,0,,0,7,1,584,0,0,5
3,11,6,0,,1,3,0,519,0,3,0
3,11,6,0,,2,6,0,505,0,5,0
3,11,6,0,,4,5,1,491,0,0,6
3,12,7,0,,0,2,1,546,0,0,3
3,12,7,0,,1,5,1,661,0,0,5
3,12,7,0,,3,6,0,571,0,3,0
3,12,7,0,,4,7,1,452,0,0,4
3,13,8,0,,0,5,1,576,0,0,5
3,13,8,0,,1,2,1,671,0,0,2
3,13,8,0,,3,7,1,435,0,0,5
3,13,8,0,,4,6,0,566,0,3,0
3,14,9,0,,0,1,1,800,1,1,2
3,14,9,0,,2,5,1,753,0,0,3
3,14,9,0,,3,6,0,475,0,4,0
3,14,9,0,,4,7,1,474,0,0,4
3,15,9,2,wc_wave_15,0,-1,0,369,0,4,0
3,15,9,2,wc_wave_15,1,-1,0,342,0,4,0
3,15,9,2,wc_wave_15,2,-1,0,313,0,5,0
3,15,9,2,wc_wave_15,3,-1,0,319,0,3,0
3,15,9,2,wc_wave_15,4,-1,0,389,0,5,0
3,15,9,2,wc_wave_15,5,-1,0,325,0,5,0
3,15,9,2,wc_wave_15,6,-1,1,786,0,0,1
3,15,9,2,wc_wave_15,7,-1,0,318,0,5,0
3,16,10,0,,0,6,0,525,0,5,0
3,16,10,0,,1,4,0,531,0,4,0
3,16,10,0,,2,3,0,479,0,3,0
3,16,10,0,,5,7,0,800,1,4,1
3,17,11,1,,4,5,1,501,0,0,5
3,17,11,0,,0,3,1,484,0,0,2
3,17,11,0,,1,5,1,582,0,0,5
3,17,11,0,,2,7,0,800,1,2,2
3,18,12,1,,5,3,0,476,0,5,0
3,18,12,0,,0,7,1,700,0,0,3
3,18,12,0,,1,3,0,647,0,2,0
3,18,12,0,,2,4,0,469,0,4,0
3,19,13,1,,0,2,1,621,0,0,2
3,19,13,0,,1,7,1,800,1,2,2
3,19,13,0,,2,5,1,662,0,0,3
3,20,13,2,wc_wave_20,0,-1,1,583,0,0,1
3,20,13,2,wc_wave_20,1,-1,1,639,0,0,1
3,20,13,2,wc_wave_20,2,-1,1,619,0,0,1
3,20,13,2,wc_wave_20,5,-1,0,509,0,4,0
3,20,13,2,wc_wave_20,7,-1,0,648,0,1,0
3,21,14,1,,7,0,0,590,0,3,0
3,21,14,0,,0,5,1,556,0,0,5
3,21,14,0,,1,2,1,800,1,1,1
3,22,15,0,,1,5,1,734,0,0,3
3,22,15,0,,2,7,1,585,0,0,5
3,23,16,1,,2,5,1,649,0,0,4
3,23,16,0,,5,7,1,742,0,0,3
3,24,17,1,,7,2,0,585,0,3,0
3,24,17,0,,2,5,1,757,0,0,3
3,25,17,2,wc_wave_25,5,-1,0,586,0,4,0
3,25,17,2,wc_wave_25,7,-1,0,456,0,3,0
3,26,18,0,,5,7,1,681,0,0,2
3,27,19,0,,5,7,1,739,0,0,3
3,28,20,0,,5,7,1,800,1,1,1
3,29,21,0,,5,7,0,800,1,1,1
3,30,21,2,wc_wave_30,5,-1,1,593,0,0,3
3,30,21,2,wc_wave_30,7,-1,1,608,0,0,2
3,31,22,0,,5,7,1,800,1,1,1
