wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters
9.738795,1,4,8,29,4,16.666800,2.197500,3.701600,16.712700,1,37832,37832,0,0
9.750174,1,4,8,29,4,16.666800,8.341100,3.763700,22.979601,1,37832,37832,0,0
9.766816,1,4,8,29,4,16.666800,2.230900,3.747600,10.570800,1,37832,37832,0,0
9.783539,1,4,8,29,4,16.666901,2.354200,3.646300,16.353300,1,37832,37832,0,0
9.800250,1,4,8,29,4,16.666702,2.281300,3.936000,16.723900,1,37832,37832,0,0
9.816872,1,4,8,29,4,16.666897,2.098600,4.130400,16.974899,1,37832,37832,0,0
9.838576,1,4,8,29,4,16.666901,2.099800,4.222200,16.417801,1,38170,38170,0,0
9.850189,1,4,8,29,4,16.667002,8.201800,4.574100,22.208500,1,38170,38170,0,0
9.866881,1,4,8,29,4,16.666800,2.356900,3.335100,11.005900,1,38170,38170,0,0
9.883500,1,4,8,29,4,16.666901,2.032600,3.240000,16.744499,1,38170,38170,0,0
9.900141,1,4,8,29,4,16.666698,2.190500,3.745600,16.599001,1,38170,38170,0,0
9.916860,1,4,8,29,4,16.666901,2.196600,3.588200,16.639000,1,38170,38170,0,0
9.937678,1,4,8,26,4,16.666901,2.131100,3.283800,16.757799,1,36046,36046,0,0
9.950170,1,4,7,26,4,16.666800,6.725600,3.602800,21.361601,1,36046,36046,0,0
9.966782,1,4,7,26,4,16.666800,2.068900,3.494900,11.932700,1,36046,36046,0,0
9.983500,1,4,7,26,4,16.666698,1.902500,3.983000,16.540701,1,36046,36046,0,0
10.000251,1,4,7,26,4,16.666800,2.276400,3.102800,16.704500,1,36046,36046,0,0
10.022710,1,4,7,26,4,22.588800,22.105801,3.102800,16.704500,1,36046,36046,0,0
10.046186,1,4,7,25,4,16.666901,2.414000,5.316800,7.817300,1,34284,34284,0,0
10.056202,1,4,7,25,4,16.666698,10.410900,4.058100,18.630600,1,34284,34284,0,0
10.072887,1,4,7,25,4,16.666800,2.624100,3.554800,9.347100,1,34284,34284,0,0
10.089414,1,4,7,25,4,16.666901,2.939500,3.272000,17.510401,1,34284,34284,0,0
10.106114,1,4,7,25,4,16.666901,2.033800,4.118500,15.588300,1,34284,34284,0,0
10.122782,1,4,7,25,4,16.666901,2.095600,3.919000,16.757799,1,34284,34284,0,0
10.144519,1,4,7,25,4,16.666698,2.367900,4.613200,16.669701,1,33422,33422,0,0
10.156111,1,4,7,25,4,16.666702,7.638800,3.978200,22.457300,1,33422,33422,0,0
10.172753,1,4,7,25,4,16.666800,6.164700,4.309100,14.591000,1,33422,33422,0,0
10.189437,1,4,7,25,4,16.666698,2.057800,3.492300,12.843000,1,33422,33422,0,0
10.206230,1,4,7,25,4,16.666800,2.057600,3.016500,16.684099,1,33422,33422,0,0
10.222758,1,4,7,25,4,16.666698,2.139700,3.647800,17.212400,1,33422,33422,0,0
10.244053,1,4,7,25,4,16.666800,2.236000,4.444900,16.199699,1,34406,34406,0,0
10.256412,1,4,7,25,4,16.733103,7.514400,3.901200,21.944300,1,34406,34406,0,0
10.272923,1,4,7,25,4,16.666800,2.434600,3.695200,11.925500,1,34406,34406,0,0
10.289610,1,4,7,25,4,16.666698,2.337800,4.481000,16.491501,1,34406,34406,0,0
10.306287,1,4,7,25,4,16.666698,2.810700,4.137400,16.604200,1,34406,34406,0,0
10.323001,1,4,7,25,4,16.666901,2.384900,3.943200,16.571301,1,34406,34406,0,0
10.344873,1,4,7,25,4,16.666901,2.501700,4.006200,16.693300,1,35367,35367,0,0
10.356250,1,4,7,25,4,16.667002,8.225000,4.257400,23.043100,1,35367,35367,0,0
10.372826,1,4,7,25,4,16.666800,2.361000,3.825800,10.321900,1,35367,35367,0,0
10.389553,1,4,7,25,4,16.666901,2.250300,3.038300,16.385000,1,35367,35367,0,0
10.406224,1,4,7,25,4,16.666800,2.134300,3.010000,16.762899,1,35367,35367,0,0
10.422855,1,4,7,25,4,16.666800,2.108700,4.093900,16.836599,1,35367,35367,0,0
10.443602,1,4,7,23,4,16.666901,2.368700,3.750900,16.555000,1,33943,33943,0,0
10.456194,1,4,7,23,4,16.666800,6.847100,3.766500,21.518299,1,33943,33943,0,0
10.472851,1,4,7,23,4,16.666698,2.303400,3.692600,11.749400,1,33943,33943,0,0
10.489474,1,4,7,23,4,16.666800,2.283000,3.496900,16.795700,1,33943,33943,0,0
10.506159,1,4,7,23,4,16.667002,2.462800,3.673000,16.510900,1,33943,33943,0,0
10.522867,1,4,7,23,4,16.666901,2.300600,4.239000,16.659500,1,33943,33943,0,0
10.544311,1,4,7,22,4,16.666800,2.372100,3.911200,16.736300,1,34584,34584,0,0
10.556175,1,4,7,22,4,16.666698,7.715400,4.479200,22.143999,1,34584,34584,0,0
10.572825,1,4,7,22,4,16.666800,2.541800,3.606200,11.235300,1,34584,34584,0,0
10.590026,1,4,7,22,4,16.667002,2.217500,3.178000,16.563200,1,34584,34584,0,0
10.606207,1,4,7,22,4,16.666998,2.433100,3.537000,17.132500,1,34584,34584,0,0
10.622833,1,4,7,22,4,16.666702,2.077000,3.654600,16.415800,1,34584,34584,0,0
10.643289,1,4,7,22,4,16.666698,2.672300,3.345500,16.484301,1,33175,33175,0,0
10.656191,1,4,7,22,4,16.666901,6.304500,4.708500,21.188601,1,33175,33175,0,0
10.672796,1,4,7,22,4,16.666800,5.338900,4.406700,15.199300,1,33175,33175,0,0
10.689462,1,4,7,22,4,16.666800,2.254100,3.173200,13.654000,1,33175,33175,0,0
10.706168,1,4,7,22,4,16.667002,2.026400,3.484600,16.528400,1,33175,33175,0,0
10.722851,1,4,7,22,4,16.666998,2.071600,3.247200,16.658400,1,33175,33175,0,0
10.744453,1,4,7,21,3,16.666901,2.035800,2.995600,16.756701,1,32995,32995,0,0
10.756120,1,4,7,21,3,16.666901,7.219500,3.901900,22.157301,1,32995,32995,0,0
10.772803,1,4,7,21,3,16.666698,2.782300,3.604300,11.107400,1,32995,32995,0,0
