experiment,seed,round,seat,winner,timeout,health_after,damage,reward
5,9,15,7,0,0,51,0,2
5,9,20,1,1,0,25,2,0
5,9,20,3,1,0,19,2,0
5,9,20,5,0,0,22,0,2
5,9,20,6,0,0,45,0,2
5,9,20,7,0,0,51,0,2
5,9,25,5,0,0,7,0,2
5,9,25,6,0,0,26,0,2
5,9,25,7,0,0,51,0,2
5,9,30,6,0,0,17,0,2
5,9,30,7,0,0,23,0,2
5,10,1,0,0,0,60,0,2
5,10,1,1,0,0,60,0,2
5,10,1,2,0,0,60,0,2
5,10,1,3,0,0,60,0,2
5,10,1,4,0,0,60,0,2
5,10,1,5,0,0,60,0,2
5,10,1,6,0,0,60,0,2
5,10,1,7,0,0,60,0,2
5,10,2,0,0,0,60,0,2
5,10,2,1,0,0,60,0,2
5,10,2,2,0,0,60,0,2
5,10,2,3,0,0,60,0,2
5,10,2,4,0,0,60,0,2
5,10,2,5,0,0,60,0,2
5,10,2,6,0,0,60,0,2
5,10,2,7,0,0,60,0,2
5,10,3,0,0,0,60,0,2
5,10,3,1,0,0,60,0,2
5,10,3,2,0,0,60,0,2
5,10,3,3,0,0,60,0,2
5,10,3,4,0,0,60,0,2
5,10,3,5,0,0,60,0,2
5,10,3,6,0,0,60,0,2
5,10,3,7,0,0,60,0,2
5,10,5,0,0,0,56,0,2
5,10,5,1,0,0,60,0,2
5,10,5,2,0,0,60,0,2
5,10,5,3,0,0,60,0,2
5,10,5,4,0,0,60,0,2
5,10,5,5,0,0,56,0,2
5,10,5,6,0,0,55,0,2
5,10,5,7,0,0,53,0,2
5,10,10,0,0,0,43,0,2
5,10,10,1,0,0,51,0,2
5,10,10,2,0,0,56,0,2
5,10,10,3,0,0,55,0,2
5,10,10,4,0,0,54,0,2
5,10,10,5,0,0,29,0,2
5,10,10,6,0,0,51,0,2
5,10,10,7,0,0,34,0,2
5,10,15,0,0,0,19,0,2
5,10,15,1,0,0,34,0,2
5,10,15,2,0,0,56,0,2
5,10,15,3,0,0,50,0,2
5,10,15,4,0,0,34,0,2
5,10,15,5,0,0,7,0,2
5,10,15,6,0,0,44,0,2
5,10,15,7,0,0,16,0,2
5,10,20,1,0,0,8,0,2
5,10,20,2,0,0,41,0,2
5,10,20,3,0,0,50,0,2
5,10,20,4,0,0,11,0,2
5,10,20,5,0,0,7,0,2
5,10,20,6,0,0,38,0,2
5,10,25,2,0,0,32,0,2
5,10,25,3,0,0,41,0,2
5,10,25,6,0,0,13,0,2
5,10,30,2,0,0,22,0,2
5,10,30,3,0,0,13,0,2
5,11,1,0,0,0,60,0,2
5,11,1,1,0,0,60,0,2
5,11,1,2,0,0,60,0,2
5,11,1,3,0,0,60,0,2
5,11,1,4,0,0,60,0,2
5,11,1,5,0,0,60,0,2
5,11,1,6,0,0,60,0,2
5,11,1,7,0,0,60,0,2
5,11,2,0,0,0,60,0,2
5,11,2,1,0,0,60,0,2
5,11,2,2,0,0,60,0,2
5,11,2,3,0,0,60,0,2
5,11,2,4,0,0,60,0,2
5,11,2,5,0,0,60,0,2
5,11,2,6,0,0,60,0,2
5,11,2,7,0,0,60,0,2
5,11,3,0,0,0,60,0,2
5,11,3,1,0,0,60,0,2
5,11,3,2,0,0,60,0,2
5,11,3,3,0,0,60,0,2
5,11,3,4,0,0,60,0,2
5,11,3,5,0,0,60,0,2
5,11,3,6,0,0,60,0,2
5,11,3,7,0,0,60,0,2
5,11,5,0,0,0,60,0,2
5,11,5,1,0,0,53,0,2
5,11,5,2,0,0,55,0,2
5,11,5,3,0,0,60,0,2
5,11,5,4,0,0,60,0,2
5,11,5,5,0,0,60,0,2
5,11,5,6,0,0,57,0,2
5,11,5,7,0,0,56,0,2
5,11,10,0,0,0,57,0,2
5,11,10,1,0,0,29,0,2
5,11,10,2,0,0,46,0,2
5,11,10,3,0,0,55,0,2
5,11,10,4,0,0,39,0,2
5,11,10,5,0,0,60,0,2
5,11,10,6,0,0,48,0,2
5,11,10,7,0,0,45,0,2
5,11,15,0,0,0,39,0,2
5,11,15,2,0,0,32,0,2
5,11,15,3,0,0,31,0,2
5,11,15,4,0,0,33,0,2
5,11,15,5,0,0,47,0,2
5,11,15,6,0,0,48,0,2
5,11,15,7,0,0,36,0,2
5,11,20,0,0,0,16,0,2
5,11,20,2,0,0,27,0,2
5,11,20,4,1,0,23,2,0
5,11,20,5,0,0,30,0,2
5,11,20,6,0,0,48,0,2
5,11,20,7,0,0,12,0,2
5,11,25,2,0,0,13,0,2
5,11,25,5,0,0,22,0,2
5,11,25,6,0,0,48,0,2
5,11,30,2,0,0,3,0,2
5,11,30,6,0,0,40,0,2
5,12,1,0,0,0,60,0,2
5,12,1,1,0,0,60,0,2
5,12,1,2,0,0,60,0,2
5,12,1,3,0,0,60,0,2
5,12,1,4,0,0,60,0,2
5,12,1,5,0,0,60,0,2
5,12,1,6,0,0,60,0,2
5,12,1,7,0,0,60,0,2
5,12,2,0,0,0,60,0,2
5,12,2,1,0,0,60,0,2
5,12,2,2,0,0,60,0,2
5,12,2,3,0,0,60,0,2
5,12,2,4,0,0,60,0,2
5,12,2,5,0,0,60,0,2
5,12,2,6,0,0,60,0,2
5,12,2,7,0,0,60,0,2
5,12,3,0,0,0,60,0,2
5,12,3,1,0,0,60,0,2
5,12,3,2,0,0,60,0,2
5,12,3,3,0,0,60,0,2
5,12,3,4,0,0,60,0,2
5,12,3,5,0,0,60,0,2
5,12,3,6,0,0,60,0,2
5,12,3,7,0,0,60,0,2
5,12,5,0,0,0,55,0,2
5,12,5,1,0,0,60,0,2
5,12,5,2,0,0,57,0,2
5,12,5,3,0,0,54,0,2
5,12,5,4,0,0,54,0,2
5,12,5,5,0,0,60,0,2
5,12,5,6,0,0,60,0,2
5,12,5,7,0,0,60,0,2
5,12,10,0,0,0,41,0,2
